timestamp,num-instances
1605182678409127020,1
1605182811513676775,2
1605182941194136734,3
1605183071827741809,4
1605183202878621807,5
1605183334828403368,6
1605183468544447312,7
1605183602719679344,8
1605183738262274633,9
1605183874521444760,10
1605183910981043190,11
