timestamp,cpu,ram,tx_bytes,rx_bytes
1605104456832502528,1.6,8.5,293485562430,141576261591
1605104458729880566,6.1,8.5,293485563216,141576263945
1605104460626157724,6.1,8.4,293485564334,141576266319
1605104462535370654,6.2,8.5,293485565396,141576269276
1605104464432818695,6.2,8.4,293485565958,141576271306
1605104466328044698,6.2,8.5,293485567924,141576275274
1605104468214907407,6.6,8.5,293485568894,141576278311
1605104470100539836,6.6,8.4,293485569463,141576280227
1605104471973460533,6.5,8.5,293485570118,141576282491
1605104473882531348,6.4,8.4,293485571086,141576284780
1605104475753352931,6.4,8.4,293485571469,141576286865
1605104477643398165,6.4,8.5,293485573279,141576290610
1605104479841609775,6.3,8.6,293485577923,141576298313
1605104482907109620,11.4,11.8,293485589919,141576315476
1605104486334221298,11.2,10.6,293485677339,141576331036
1605104489723270026,96.2,16.1,293485965589,141576690842
1605104491908868736,72.9,16.8,293486186344,141576971058
1605104494000243244,52.8,16.8,293486214993,141577053330
1605104496097703107,42.4,16.8,293486241098,141577133182
1605104498188742366,36.0,16.7,293486267508,141577213109
1605104500275151800,31.8,16.7,293486293365,141577292439
1605104502366755448,28.9,16.8,293486319649,141577372005
1605104504484965195,26.6,16.8,293486349081,141577455170
1605104506604810570,23.7,16.8,293486381745,141577542166
1605104508735453067,22.6,16.8,293486427330,141577630847
1605104510838964175,21.5,16.9,293486508211,141577723015
1605104512958184926,20.6,16.9,293486582093,141577811903
1605104515086639757,19.9,16.7,293486744831,141577938973
1605104517190652106,19.4,16.7,293487023434,141578181018
1605104519308831954,19.0,16.8,293487197389,141578288470
1605104521421609490,18.3,16.8,293487368048,141578394354
1605104523537358672,17.5,16.8,293487537456,141578503265
1605104525623316942,17.2,16.8,293487701085,141578609180
1605104527735589721,16.9,16.7,293487879817,141578717820
1605104529895273163,16.6,16.7,293488066529,141578834786
1605104532033604914,16.5,16.8,293488237342,141578940345
1605104534138308994,16.1,16.7,293488403730,141579045291
1605104536266995649,15.8,16.8,293488571031,141579151545
1605104538395732990,15.8,16.8,293488737432,141579258792
1605104540554448511,15.4,16.8,293488959718,141579385285
1605104542658721010,15.1,16.8,293489159350,141579504529
1605104544778139289,15.0,16.9,293489385390,141579627249
1605104546883564895,15.0,16.9,293489601700,141579750353
1605104549035601214,14.9,16.9,293489822753,141579875984
1605104551161121231,14.8,16.8,293490034669,141579999178
1605104553292599771,14.7,16.9,293490262844,141580122814
1605104555400415342,14.7,16.8,293490481084,141580249704
1605104557541550355,14.4,16.9,293490711408,141580370906
1605104559652989045,14.3,16.9,293490927724,141580495813
1605104561781804490,14.3,16.8,293491137217,141580615232
1605104563913987921,14.1,16.8,293491373149,141580745211
1605104566044987118,14.0,16.9,293491588427,141580867727
1605104568179889154,14.1,16.9,293491829576,141580999231
1605104570289279565,14.0,16.8,293492039167,141581120683
1605104572419538677,14.0,16.9,293492272264,141581251689
1605104574529960242,13.7,16.8,293492475408,141581368862
1605104576640246904,13.7,16.9,293492714039,141581500782
1605104578734488353,13.7,16.8,293492910176,141581617350
1605104580822631611,13.7,16.8,293493116382,141581734027
1605104582943277733,13.6,16.8,293493288872,141581841189
1605104585052581900,13.5,16.9,293493463357,141581947163
1605104587187633654,13.5,17.0,293493632915,141582056712
1605104589307716778,13.4,16.9,293493803400,141582162988
1605104591419098736,13.4,16.8,293493974609,141582269022
1605104593537606759,13.2,16.9,293494151095,141582375683
1605104595649677274,13.2,16.9,293494322071,141582481305
1605104597762405825,13.1,16.9,293494495502,141582588643
1605104599913903058,13.1,16.9,293494694674,141582709021
1605104602064820438,13.1,16.9,293494898032,141582826751
1605104604223483531,13.2,16.8,293495128298,141582955763
1605104606364294065,13.2,16.9,293495333095,141583075507
1605104608503498916,13.1,16.9,293495569718,141583205727
1605104610638916442,13.0,16.8,293495774726,141583325770
1605104612764967659,13.0,16.9,293496007257,141583455101
1605104614896438668,12.9,16.9,293496219311,141583575516
1605104617081093296,13.0,16.9,293496464788,141583707246
1605104619213242406,13.0,16.9,293496671873,141583825767
1605104621352638605,13.0,16.9,293496906508,141583956177
1605104623475722483,13.0,16.8,293497120372,141584074967
1605104625603153973,12.8,16.9,293497344965,141584202491
1605104627705044831,12.8,16.9,293497552133,141584322550
1605104629860006131,12.8,16.9,293497785886,141584453300
