timestamp,num-instances
1605117240986390363,1
1605120917352921616,2
1605124588938281452,3
1605128262220053374,4
1605131937858695196,5
1605135615020029598,6
1605139294218902993,7
1605142975177414476,8
1605146656268306218,9
1605150337623536137,10
1605154020981043190,11
