timestamp,node,latency,action,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1605187367273108992,10.0.1.146,NaN,,0.000,0.000,0.000,0.000,0.000,0.000
1605187369280608000,10.0.1.146,2007,,0.000,0.000,0.000,0.000,0.000,0.000
1605187374107651072,10.0.1.146,2825,move_down,-0.020,-0.020,-0.020,0.000,0.000,0.000
1605187375983355904,10.0.1.146,779,move_down,-0.040,-0.040,-0.040,0.000,0.000,0.000
1605187377765892096,10.0.1.146,653,move_down,-0.060,-0.060,-0.060,0.000,0.000,0.000
1605187379438315008,10.0.1.146,555,move_down,-0.080,-0.080,-0.080,0.000,0.000,0.000
1605187381153729024,10.0.1.146,630,move_down,-0.100,-0.100,-0.100,0.000,0.000,0.000
1605187383010752000,10.0.1.146,743,move_down,-0.120,-0.120,-0.120,0.000,0.000,0.000
1605187384724022016,10.0.1.146,686,move_down,-0.140,-0.140,-0.140,0.000,0.000,0.000
1605187386518405888,10.0.1.146,697,move_down,-0.160,-0.160,-0.160,0.000,0.000,0.000
1605187388265571072,10.0.1.146,638,move_down,-0.180,-0.180,-0.180,0.000,0.000,0.000
1605187390139269120,10.0.1.146,765,move_down,-0.200,-0.200,-0.200,0.000,0.000,0.000
1605187391945060864,10.0.1.146,713,move_down,-0.220,-0.220,-0.220,0.000,0.000,0.000
1605187393599208192,10.0.1.146,596,move_down,-0.240,-0.240,-0.240,0.000,0.000,0.000
1605187395369406976,10.0.1.146,619,move_down,-0.260,-0.260,-0.260,0.000,0.000,0.000
1605187397164599040,10.0.1.146,733,move_down,-0.280,-0.280,-0.280,0.000,0.000,0.000
1605187398919970048,10.0.1.146,686,move_down,-0.300,-0.300,-0.300,0.000,0.000,0.000
1605187400642257920,10.0.1.146,661,move_down,-0.320,-0.320,-0.320,0.000,0.000,0.000
1605187402410002944,10.0.1.146,786,move_down,-0.340,-0.340,-0.340,0.000,0.000,0.000
1605187404133358080,10.0.1.146,673,move_down,-0.360,-0.360,-0.360,0.000,0.000,0.000
1605187405783670784,10.0.1.146,559,move_down,-0.380,-0.380,-0.380,0.000,0.000,0.000
1605187407539928064,10.0.1.146,719,move_down,-0.400,-0.400,-0.400,0.000,0.000,0.000
1605187409139152128,10.0.1.146,603,move_down,-0.420,-0.420,-0.420,0.000,0.000,0.000
1605187410791384832,10.0.1.146,547,move_down,-0.440,-0.440,-0.440,0.000,0.000,0.000
1605187412577339904,10.0.1.146,676,move_down,-0.460,-0.460,-0.460,0.000,0.000,0.000
1605187414312252160,10.0.1.146,665,move_down,-0.480,-0.480,-0.480,0.000,0.000,0.000
1605187416010296064,10.0.1.146,661,move_down,-0.500,-0.500,-0.500,0.000,0.000,0.000
1605187417613484032,10.0.1.146,535,move_down,-0.520,-0.520,-0.520,0.000,0.000,0.000
1605187419344147968,10.0.1.146,644,move_down,-0.540,-0.540,-0.540,0.000,0.000,0.000
1605187420960489984,10.0.1.146,490,move_down,-0.560,-0.560,-0.560,0.000,0.000,0.000
1605187422598931200,10.0.1.146,572,move_down,-0.580,-0.580,-0.580,0.000,0.000,0.000
1605187423723251968,10.0.1.146,56,pick,-0.590,-0.590,-0.590,0.000,0.000,0.000
1605187425668867072,10.0.1.146,NaN,pick,-0.610,-0.610,-0.610,0.000,0.000,0.000
1605187425725512960,10.0.1.146,56,pick,-0.610,-0.610,-0.610,0.000,0.000,0.000
1605187426721725952,10.0.1.146,51,pick,-0.620,-0.620,-0.620,0.000,0.000,0.000
1605187427743877888,10.0.1.146,48,pick,-0.630,-0.630,-0.630,0.000,0.000,0.000
1605187428760055040,10.0.1.146,62,pick,-0.640,-0.640,-0.640,0.000,0.000,0.000
1605187430700678144,10.0.1.146,NaN,pick,-0.660,-0.660,-0.660,0.000,0.000,0.000
1605187431702728960,10.0.1.146,NaN,pick,-0.670,-0.670,-0.670,0.000,0.000,0.000
1605187432727649024,10.0.1.146,NaN,pick,-0.680,-0.680,-0.680,0.000,0.000,0.000
1605187432773963008,10.0.1.146,46,pick,-0.680,-0.680,-0.680,0.000,0.000,0.000
1605187433801678848,10.0.1.146,68,pick,-0.690,-0.690,-0.690,0.000,0.000,0.000
1605187434803250944,10.0.1.146,68,pick,-0.700,-0.700,-0.700,0.000,0.000,0.000
1605187436744233984,10.0.1.146,NaN,pick,-0.720,-0.720,-0.720,0.000,0.000,0.000
1605187436816531968,10.0.1.146,72,pick,-0.720,-0.720,-0.720,0.000,0.000,0.000
1605187437831335936,10.0.1.146,80,pick,-0.730,-0.730,-0.730,0.000,0.000,0.000
1605187439759094016,10.0.1.146,NaN,pick,-0.750,-0.750,-0.750,0.000,0.000,0.000
1605187439818661888,10.0.1.146,59,pick,-0.750,-0.750,-0.750,0.000,0.000,0.000
1605187440809627904,10.0.1.146,49,pick,-0.760,-0.760,-0.760,0.000,0.000,0.000
1605187441833179904,10.0.1.146,69,pick,-0.770,-0.770,-0.770,0.000,0.000,0.000
1605187443528945920,10.0.1.146,762,move_up,-0.750,-0.750,-0.750,0.000,0.000,0.000
1605187445377976832,10.0.1.146,788,move_up,-0.730,-0.730,-0.730,0.000,0.000,0.000
1605187447125581056,10.0.1.146,628,move_up,-0.710,-0.710,-0.710,0.000,0.000,0.000
1605187448888022784,10.0.1.146,760,move_up,-0.690,-0.690,-0.690,0.000,0.000,0.000
1605187450519033856,10.0.1.146,595,move_up,-0.670,-0.670,-0.670,0.000,0.000,0.000
1605187452223038976,10.0.1.146,615,move_up,-0.650,-0.650,-0.650,0.000,0.000,0.000
1605187453937454080,10.0.1.146,614,move_up,-0.630,-0.630,-0.630,0.000,0.000,0.000
1605187455808568064,10.0.1.146,778,move_up,-0.610,-0.610,-0.610,0.000,0.000,0.000
1605187457532427008,10.0.1.146,621,move_up,-0.590,-0.590,-0.590,0.000,0.000,0.000
1605187459309120000,10.0.1.146,652,move_up,-0.570,-0.570,-0.570,0.000,0.000,0.000
1605187461143682048,10.0.1.146,805,move_up,-0.550,-0.550,-0.550,0.000,0.000,0.000
1605187463024146176,10.0.1.146,803,move_up,-0.530,-0.530,-0.530,0.000,0.000,0.000
1605187464913084928,10.0.1.146,652,move_up,-0.510,-0.510,-0.510,0.000,0.000,0.000
1605187466662665984,10.0.1.146,675,move_up,-0.490,-0.490,-0.490,0.000,0.000,0.000
1605187468230011904,10.0.1.146,570,move_up,-0.470,-0.470,-0.470,0.000,0.000,0.000
1605187469822151936,10.0.1.146,480,move_up,-0.450,-0.450,-0.450,0.000,0.000,0.000
1605187471476617216,10.0.1.146,604,move_up,-0.430,-0.430,-0.430,0.000,0.000,0.000
1605187473328872960,10.0.1.146,735,move_up,-0.410,-0.410,-0.410,0.000,0.000,0.000
1605187475007992064,10.0.1.146,610,move_up,-0.390,-0.390,-0.390,0.000,0.000,0.000
1605187477023907840,10.0.1.146,875,move_up,-0.370,-0.370,-0.370,0.000,0.000,0.000
1605187478995811840,10.0.1.146,705,move_up,-0.350,-0.350,-0.350,0.000,0.000,0.000
1605187480986742016,10.0.1.146,863,move_up,-0.330,-0.330,-0.330,0.000,0.000,0.000
1605187482933981952,10.0.1.146,895,move_up,-0.310,-0.310,-0.310,0.000,0.000,0.000
1605187484770040064,10.0.1.146,758,move_up,-0.290,-0.290,-0.290,0.000,0.000,0.000
1605187486335380992,10.0.1.146,513,move_up,-0.270,-0.270,-0.270,0.000,0.000,0.000
1605187487911763968,10.0.1.146,534,move_up,-0.250,-0.250,-0.250,0.000,0.000,0.000
1605187489732041984,10.0.1.146,810,move_up,-0.230,-0.230,-0.230,0.000,0.000,0.000
1605187491438533120,10.0.1.146,616,move_up,-0.210,-0.210,-0.210,0.000,0.000,0.000
1605187493054032128,10.0.1.146,506,move_up,-0.190,-0.190,-0.190,0.000,0.000,0.000
1605187494308933120,10.0.1.146,39,place,-0.180,-0.180,-0.180,0.000,0.000,0.000
1605187495323840000,10.0.1.146,53,place,-0.170,-0.170,-0.170,0.000,0.000,0.000
1605187496335517952,10.0.1.146,60,place,-0.160,-0.160,-0.160,0.000,0.000,0.000
1605187497342916096,10.0.1.146,59,place,-0.150,-0.150,-0.150,0.000,0.000,0.000
1605187498348329984,10.0.1.146,60,place,-0.140,-0.140,-0.140,0.000,0.000,0.000
1605187499347469056,10.0.1.146,50,place,-0.130,-0.130,-0.130,0.000,0.000,0.000
1605187500354260992,10.0.1.146,55,place,-0.120,-0.120,-0.120,0.000,0.000,0.000
1605187502314618112,10.0.1.146,NaN,place,-0.100,-0.100,-0.100,0.000,0.000,0.000
1605187503315565056,10.0.1.146,NaN,place,-0.090,-0.090,-0.090,0.000,0.000,0.000
1605187503349939200,10.0.1.146,34,place,-0.090,-0.090,-0.090,0.000,0.000,0.000
1605187505339133952,10.0.1.146,NaN,place,-0.070,-0.070,-0.070,0.000,0.000,0.000
1605187505374460928,10.0.1.146,35,place,-0.070,-0.070,-0.070,0.000,0.000,0.000
1605187506399034880,10.0.1.146,59,place,-0.060,-0.060,-0.060,0.000,0.000,0.000
1605187507415524864,10.0.1.146,64,place,-0.050,-0.050,-0.050,0.000,0.000,0.000
1605187508422205952,10.0.1.146,68,place,-0.040,-0.040,-0.040,0.000,0.000,0.000
1605187509399867904,10.0.1.146,44,place,-0.030,-0.030,-0.030,0.000,0.000,0.000
1605187510450512896,10.0.1.146,93,place,-0.020,-0.020,-0.020,0.000,0.000,0.000
1605187511446050816,10.0.1.146,83,place,-0.010,-0.010,-0.010,0.000,0.000,0.000
1605187512441623040,10.0.1.146,78,place,0.000,0.000,0.000,0.000,0.000,0.000
1605187513954818048,10.0.1.146,590,move_down,-0.020,-0.020,-0.020,0.000,0.000,0.000
1605187515683390976,10.0.1.146,672,move_down,-0.040,-0.040,-0.040,0.000,0.000,0.000
1605187517663526144,10.0.1.146,829,move_down,-0.060,-0.060,-0.060,0.000,0.000,0.000
1605187519338252032,10.0.1.146,621,move_down,-0.080,-0.080,-0.080,0.000,0.000,0.000
1605187520990940160,10.0.1.146,505,move_down,-0.100,-0.100,-0.100,0.000,0.000,0.000
1605187522799545088,10.0.1.146,671,move_down,-0.120,-0.120,-0.120,0.000,0.000,0.000
1605187525002044928,10.0.1.146,1075,move_down,-0.140,-0.140,-0.140,0.000,0.000,0.000
1605187526651830016,10.0.1.146,504,move_down,-0.160,-0.160,-0.160,0.000,0.000,0.000
1605187528282511872,10.0.1.146,554,move_down,-0.180,-0.180,-0.180,0.000,0.000,0.000
1605187529858161920,10.0.1.146,549,move_down,-0.200,-0.200,-0.200,0.000,0.000,0.000
1605187531522723840,10.0.1.146,608,move_down,-0.220,-0.220,-0.220,0.000,0.000,0.000
1605187533273203968,10.0.1.146,657,move_down,-0.240,-0.240,-0.240,0.000,0.000,0.000
1605187535232443136,10.0.1.146,909,move_down,-0.260,-0.260,-0.260,0.000,0.000,0.000
1605187536883481088,10.0.1.146,585,move_down,-0.280,-0.280,-0.280,0.000,0.000,0.000
1605187538439554816,10.0.1.146,516,move_down,-0.300,-0.300,-0.300,0.000,0.000,0.000
1605187540202909952,10.0.1.146,648,move_down,-0.320,-0.320,-0.320,0.000,0.000,0.000
1605187541970795008,10.0.1.146,672,move_down,-0.340,-0.340,-0.340,0.000,0.000,0.000
1605187543768329984,10.0.1.146,698,move_down,-0.360,-0.360,-0.360,0.000,0.000,0.000
1605187545400135936,10.0.1.146,551,move_down,-0.380,-0.380,-0.380,0.000,0.000,0.000
1605187547250561024,10.0.1.146,792,move_down,-0.400,-0.400,-0.400,0.000,0.000,0.000
1605187549109739008,10.0.1.146,790,move_down,-0.420,-0.420,-0.420,0.000,0.000,0.000
1605187550915806976,10.0.1.146,700,move_down,-0.440,-0.440,-0.440,0.000,0.000,0.000
1605187552507857152,10.0.1.146,552,move_down,-0.460,-0.460,-0.460,0.000,0.000,0.000
1605187554297529856,10.0.1.146,689,move_down,-0.480,-0.480,-0.480,0.000,0.000,0.000
1605187556320403200,10.0.1.146,885,move_down,-0.500,-0.500,-0.500,0.000,0.000,0.000
1605187558093125120,10.0.1.146,664,move_down,-0.520,-0.520,-0.520,0.000,0.000,0.000
1605187559891144960,10.0.1.146,681,move_down,-0.540,-0.540,-0.540,0.000,0.000,0.000
1605187561772306944,10.0.1.146,818,move_down,-0.560,-0.560,-0.560,0.000,0.000,0.000
1605187563673327872,10.0.1.146,730,move_down,-0.580,-0.580,-0.580,0.000,0.000,0.000
1605187564901679872,10.0.1.146,104,pick,-0.590,-0.590,-0.590,0.000,0.000,0.000
1605187565881520896,10.0.1.146,82,pick,-0.600,-0.600,-0.600,0.000,0.000,0.000
1605187566854152960,10.0.1.146,54,pick,-0.610,-0.610,-0.610,0.000,0.000,0.000
1605187567859271936,10.0.1.146,58,pick,-0.620,-0.620,-0.620,0.000,0.000,0.000
