timestamp,node,latency,action,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
1605209885011614208,10.0.1.137,NaN,,0.000,0.000,0.000,0.000,0.000,0.000
1605209887017350912,10.0.1.137,2005,,0.000,0.000,0.000,0.000,0.000,0.000
1605209890112133888,10.0.1.137,1092,move_down,-0.020,-0.020,-0.020,0.000,0.000,0.000
1605209891783898112,10.0.1.137,546,move_down,-0.040,-0.040,-0.040,0.000,0.000,0.000
1605209893337862912,10.0.1.137,516,move_down,-0.060,-0.060,-0.060,0.000,0.000,0.000
1605209895163398912,10.0.1.137,692,move_down,-0.080,-0.080,-0.080,0.000,0.000,0.000
1605209896825118976,10.0.1.137,557,move_down,-0.100,-0.100,-0.100,0.000,0.000,0.000
1605209898393222144,10.0.1.137,534,move_down,-0.120,-0.120,-0.120,0.000,0.000,0.000
1605209900130804992,10.0.1.137,659,move_down,-0.140,-0.140,-0.140,0.000,0.000,0.000
1605209901802829056,10.0.1.137,620,move_down,-0.160,-0.160,-0.160,0.000,0.000,0.000
1605209903419655168,10.0.1.137,521,move_down,-0.180,-0.180,-0.180,0.000,0.000,0.000
1605209905353754880,10.0.1.137,858,move_down,-0.200,-0.200,-0.200,0.000,0.000,0.000
1605209907012090880,10.0.1.137,568,move_down,-0.220,-0.220,-0.220,0.000,0.000,0.000
1605209908731112960,10.0.1.137,633,move_down,-0.240,-0.240,-0.240,0.000,0.000,0.000
1605209910417939968,10.0.1.137,597,move_down,-0.260,-0.260,-0.260,0.000,0.000,0.000
1605209912104721920,10.0.1.137,622,move_down,-0.280,-0.280,-0.280,0.000,0.000,0.000
1605209914127991808,10.0.1.137,737,move_down,-0.300,-0.300,-0.300,0.000,0.000,0.000
1605209915627106816,10.0.1.137,497,move_down,-0.320,-0.320,-0.320,0.000,0.000,0.000
1605209917205990144,10.0.1.137,532,move_down,-0.340,-0.340,-0.340,0.000,0.000,0.000
1605209918863544064,10.0.1.137,552,move_down,-0.360,-0.360,-0.360,0.000,0.000,0.000
1605209920553718016,10.0.1.137,557,move_down,-0.380,-0.380,-0.380,0.000,0.000,0.000
1605209922311737088,10.0.1.137,651,move_down,-0.400,-0.400,-0.400,0.000,0.000,0.000
1605209923907355136,10.0.1.137,561,move_down,-0.420,-0.420,-0.420,0.000,0.000,0.000
1605209925557323008,10.0.1.137,528,move_down,-0.440,-0.440,-0.440,0.000,0.000,0.000
1605209927407543040,10.0.1.137,676,move_down,-0.460,-0.460,-0.460,0.000,0.000,0.000
1605209928985806848,10.0.1.137,503,move_down,-0.480,-0.480,-0.480,0.000,0.000,0.000
1605209930708336128,10.0.1.137,640,move_down,-0.500,-0.500,-0.500,0.000,0.000,0.000
1605209932428018944,10.0.1.137,632,move_down,-0.520,-0.520,-0.520,0.000,0.000,0.000
1605209934095010048,10.0.1.137,560,move_down,-0.540,-0.540,-0.540,0.000,0.000,0.000
1605209935664609024,10.0.1.137,514,move_down,-0.560,-0.560,-0.560,0.000,0.000,0.000
1605209937245625856,10.0.1.137,529,move_down,-0.580,-0.580,-0.580,0.000,0.000,0.000
1605209938340538880,10.0.1.137,58,pick,-0.590,-0.590,-0.590,0.000,0.000,0.000
1605209939339566080,10.0.1.137,55,pick,-0.600,-0.600,-0.600,0.000,0.000,0.000
1605209940333755904,10.0.1.137,46,pick,-0.610,-0.610,-0.610,0.000,0.000,0.000
1605209942295542016,10.0.1.137,NaN,pick,-0.630,-0.630,-0.630,0.000,0.000,0.000
1605209942335403008,10.0.1.137,39,pick,-0.630,-0.630,-0.630,0.000,0.000,0.000
1605209943340559872,10.0.1.137,42,pick,-0.640,-0.640,-0.640,0.000,0.000,0.000
1605209944346734080,10.0.1.137,47,pick,-0.650,-0.650,-0.650,0.000,0.000,0.000
1605209945364459008,10.0.1.137,63,pick,-0.660,-0.660,-0.660,0.000,0.000,0.000
1605209946374361088,10.0.1.137,65,pick,-0.670,-0.670,-0.670,0.000,0.000,0.000
1605209947358679040,10.0.1.137,48,pick,-0.680,-0.680,-0.680,0.000,0.000,0.000
1605209949317153024,10.0.1.137,NaN,pick,-0.700,-0.700,-0.700,0.000,0.000,0.000
1605209949380728064,10.0.1.137,63,pick,-0.700,-0.700,-0.700,0.000,0.000,0.000
1605209950358892032,10.0.1.137,34,pick,-0.710,-0.710,-0.710,0.000,0.000,0.000
1605209951383380992,10.0.1.137,54,pick,-0.720,-0.720,-0.720,0.000,0.000,0.000
1605209952379885824,10.0.1.137,48,pick,-0.730,-0.730,-0.730,0.000,0.000,0.000
1605209953378467072,10.0.1.137,41,pick,-0.740,-0.740,-0.740,0.000,0.000,0.000
1605209954433708032,10.0.1.137,94,pick,-0.750,-0.750,-0.750,0.000,0.000,0.000
1605209955415173888,10.0.1.137,74,pick,-0.760,-0.760,-0.760,0.000,0.000,0.000
1605209956410329088,10.0.1.137,67,pick,-0.770,-0.770,-0.770,0.000,0.000,0.000
1605209957897623040,10.0.1.137,540,move_up,-0.750,-0.750,-0.750,0.000,0.000,0.000
1605209959615547904,10.0.1.137,619,move_up,-0.730,-0.730,-0.730,0.000,0.000,0.000
1605209961324551936,10.0.1.137,590,move_up,-0.710,-0.710,-0.710,0.000,0.000,0.000
1605209962980633088,10.0.1.137,566,move_up,-0.690,-0.690,-0.690,0.000,0.000,0.000
1605209964628617984,10.0.1.137,485,move_up,-0.670,-0.670,-0.670,0.000,0.000,0.000
1605209966166996992,10.0.1.137,507,move_up,-0.650,-0.650,-0.650,0.000,0.000,0.000
1605209967928404992,10.0.1.137,647,move_up,-0.630,-0.630,-0.630,0.000,0.000,0.000
1605209969759176960,10.0.1.137,677,move_up,-0.610,-0.610,-0.610,0.000,0.000,0.000
1605209971470618112,10.0.1.137,505,move_up,-0.590,-0.590,-0.590,0.000,0.000,0.000
1605209973228707072,10.0.1.137,553,move_up,-0.570,-0.570,-0.570,0.000,0.000,0.000
1605209974855223040,10.0.1.137,520,move_up,-0.550,-0.550,-0.550,0.000,0.000,0.000
1605209976707747840,10.0.1.137,783,move_up,-0.530,-0.530,-0.530,0.000,0.000,0.000
1605209978346370048,10.0.1.137,608,move_up,-0.510,-0.510,-0.510,0.000,0.000,0.000
1605209980018142976,10.0.1.137,582,move_up,-0.490,-0.490,-0.490,0.000,0.000,0.000
1605209981876055040,10.0.1.137,639,move_up,-0.470,-0.470,-0.470,0.000,0.000,0.000
1605209983477341952,10.0.1.137,562,move_up,-0.450,-0.450,-0.450,0.000,0.000,0.000
1605209985228029952,10.0.1.137,621,move_up,-0.430,-0.430,-0.430,0.000,0.000,0.000
1605209986957048064,10.0.1.137,627,move_up,-0.410,-0.410,-0.410,0.000,0.000,0.000
1605209988616656128,10.0.1.137,546,move_up,-0.390,-0.390,-0.390,0.000,0.000,0.000
1605209990260751872,10.0.1.137,614,move_up,-0.370,-0.370,-0.370,0.000,0.000,0.000
1605209991834093056,10.0.1.137,492,move_up,-0.350,-0.350,-0.350,0.000,0.000,0.000
1605209993594572032,10.0.1.137,653,move_up,-0.330,-0.330,-0.330,0.000,0.000,0.000
1605209995171793920,10.0.1.137,520,move_up,-0.310,-0.310,-0.310,0.000,0.000,0.000
1605209996727941888,10.0.1.137,530,move_up,-0.290,-0.290,-0.290,0.000,0.000,0.000
1605209998370307840,10.0.1.137,573,move_up,-0.270,-0.270,-0.270,0.000,0.000,0.000
1605210000008999936,10.0.1.137,605,move_up,-0.250,-0.250,-0.250,0.000,0.000,0.000
1605210001644325888,10.0.1.137,554,move_up,-0.230,-0.230,-0.230,0.000,0.000,0.000
1605210003226377984,10.0.1.137,532,move_up,-0.210,-0.210,-0.210,0.000,0.000,0.000
1605210004991446016,10.0.1.137,656,move_up,-0.190,-0.190,-0.190,0.000,0.000,0.000
